edad,sexo,comunidad,pais_nacimiento,situacion_prof,jornada_semanal,renta_cta_ajena,renta_cta_propia,anyo,ponderacion
31,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,397.59252999999995
46,Hombre,Catalunya,Resto,asalariado,30,3766.6,0.0,2017,396.40764
52,Mujer,Catalunya,Resto,autónomo, ,0.0,0.0,2017,275.69597999999996
84,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,298.08623
83,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,302.24121
60,Mujer,Catalunya,Espanya,asalariado,15,10745.52,0.0,2017,333.14684
61,Hombre,Catalunya,Espanya,asalariado, ,427.9,0.0,2017,338.44312
30,Hombre,Catalunya, ,, ,0.0,0.0,2017,0.0
54,Hombre,Catalunya,Espanya,asalariado,40,15611.2,0.0,2017,386.62891
51,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,384.79904
34,Mujer,Catalunya,Espanya,asalariado,40,11193.2,0.0,2017,385.78469
45,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,393.41826000000003
43,Hombre,Catalunya,Espanya,asalariado,40,35765.4,0.0,2017,393.81511
51,Mujer,Catalunya,Espanya,asalariado, ,2603.8,0.0,2017,285.85792999999995
48,Hombre,Catalunya, ,, ,13283.2,0.0,2017,0.0
24,Hombre,Catalunya, ,, ,452.5,0.0,2017,0.0
17,Hombre,Catalunya, ,, ,0.0,0.0,2017,0.0
57,Hombre,Catalunya,Espanya,asalariado,40,26685.4,0.0,2017,283.21808
51,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,286.51515
23,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,286.52199
19,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,294.34441
83,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,245.44598
69,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,266.94332
68,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,269.95957000000004
86,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,267.1681
81,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,290.85432000000003
73,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,289.85303999999996
67,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,309.86321
65,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,311.87532000000004
34,Mujer,Catalunya,Espanya,asalariado,40,22928.5,0.0,2017,316.02105
69,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,284.56604
86,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,245.44598
36,Hombre,Catalunya,Resto,asalariado, ,0.0,0.0,2017,382.87043
28,Mujer,Catalunya,Resto,, ,0.0,0.0,2017,383.36446
32,Hombre,Catalunya,Resto,asalariado, ,22875.54,0.0,2017,559.49965
78,Hombre,Catalunya,Espanya,autónomo, ,0.0,2803.9,2017,271.54472999999996
77,Mujer,Catalunya,UE-28,asalariado, ,0.0,0.0,2017,267.81174
17,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,227.84041000000002
54,Mujer,Catalunya,Espanya,asalariado,40,15243.8,0.0,2017,227.10455
66,Mujer,Catalunya,Espanya,asalariado, ,16941.3,0.0,2017,319.27164
34,Hombre,Catalunya,Espanya,asalariado,20,3883.5,0.0,2017,327.59236
84,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,383.41649
71,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,268.40578
61,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,270.14869
56,Mujer,Catalunya,Espanya,asalariado,50,149327.4,0.0,2017,348.42847
56,Hombre,Catalunya,Espanya,Empleador,48,2641.7,0.0,2017,345.05057
22,Mujer,Catalunya,Espanya,asalariado,40,0.0,0.0,2017,383.94822
70,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,268.40578
65,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,270.14869
48,Mujer,Catalunya,Espanya,asalariado,40,36807.2,0.0,2017,320.86489
39,Hombre,Catalunya,Resto,asalariado, ,12776.3,0.0,2017,147.7296
32,Mujer,Catalunya,Espanya,asalariado, ,15598.3,0.0,2017,147.92022
18,Hombre,Catalunya,Resto,asalariado, ,0.0,0.0,2017,151.57401000000002
68,Hombre,Catalunya,Espanya,asalariado, ,0.0,3944.6,2017,322.8233
66,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,326.47094
33,Mujer,Catalunya,Espanya,asalariado,40,28638.3,14301.1,2017,329.23868999999996
29,Hombre,Catalunya,Espanya,asalariado, ,5055.8,0.0,2017,475.4939
76,Mujer,Catalunya,Espanya,, ,0.0,14864.5,2017,316.0993
39,Mujer,Catalunya,Espanya,asalariado,42,35323.0,0.0,2017,321.37057000000004
48,Hombre,Catalunya,Espanya,asalariado,42,53755.4,0.0,2017,321.1499
64,Mujer,Catalunya,Espanya,asalariado, ,5437.3,0.0,2017,250.51166
59,Hombre,Catalunya,Espanya,asalariado,37,21598.17,0.0,2017,260.38097
55,Mujer,Catalunya,Espanya,asalariado,40,66263.1,0.0,2017,263.41219
27,Hombre,Catalunya,Espanya,asalariado,30,9656.2,0.0,2017,268.69151
17,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,270.61012999999997
86,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,245.44598
46,Mujer,Catalunya,Resto,autónomo, ,0.0,0.0,2017,376.28652999999997
52,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,290.67286
49,Hombre,Catalunya,Espanya,asalariado,50,0.0,121302.9,2017,290.54894
22,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,290.6798
62,Hombre,Catalunya,Espanya,asalariado,40,20853.3,0.0,2017,332.37442999999996
39,Mujer,Catalunya,Espanya,Empleador,40,23865.5,0.0,2017,202.04503
39,Hombre,Catalunya,Resto,autónomo,40,0.0,38958.8,2017,202.24884
74,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,162.13495
73,Mujer,Catalunya,Espanya,Empleador, ,0.0,0.0,2017,163.96694
43,Hombre,Catalunya,Espanya,Empleador,45,33382.2,0.0,2017,165.14393
43,Mujer,Catalunya,Espanya,asalariado,40,80356.7,0.0,2017,164.97751
49,Hombre,Catalunya,Espanya,asalariado,50,100058.9,0.0,2017,105.33478999999998
47,Mujer,Catalunya,Espanya,asalariado,40,41222.7,0.0,2017,106.0003
20,Hombre,Catalunya,Espanya,asalariado, ,11986.06,0.0,2017,108.2593
18,Hombre,Catalunya,Espanya,asalariado, ,701.8,0.0,2017,108.2593
52,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,236.33274
19,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,237.0985
17,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,237.0985
57,Hombre,Catalunya,Espanya,autónomo,45,37887.3,8405.8,2017,304.5647
86,Hombre,Catalunya,Espanya,Empleador, ,0.0,0.0,2017,307.36082000000005
44,Mujer,Catalunya,Espanya,asalariado,40,21598.4,0.0,2017,180.12187
49,Hombre,Catalunya,Espanya,Empleador, ,242.0,13844.9,2017,317.60539
43,Mujer,Catalunya,Espanya,asalariado,40,18995.0,0.0,2017,317.82362
80,Mujer,Catalunya,Resto,asalariado, ,0.0,0.0,2017,288.98136
76,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,245.44598
26,Hombre,Catalunya,Espanya,asalariado,40,22741.9,0.0,2017,338.95734
27,Mujer,Catalunya,Espanya,asalariado, ,3196.8,0.0,2017,333.14857
81,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,245.44598
60,Hombre,Catalunya,Espanya,asalariado,40,48521.9,3995.6,2017,335.39887999999996
30,Hombre,Catalunya,Resto,asalariado,40,9792.0,0.0,2017,346.10376
32,Mujer,Catalunya,UE-28,asalariado,40,22069.8,0.0,2017,314.21132
32,Mujer,Catalunya,Espanya,asalariado,40,34823.7,0.0,2017,387.56604
28,Mujer,Catalunya,Espanya,asalariado,35,1579.2,0.0,2017,387.56604
38,Hombre,Catalunya,Espanya,Empleador,40,0.0,29612.5,2017,321.41062999999997
38,Mujer,Catalunya,Espanya,asalariado,37,40162.9,0.0,2017,321.08673999999996
45,Hombre,Catalunya,Espanya,asalariado,37,38586.9,0.0,2017,436.20335
29,Mujer,Catalunya,Espanya,autónomo,40,36073.63,0.0,2017,440.35104
38,Hombre,Catalunya,Espanya,autónomo,35,14983.7,0.0,2017,437.97860999999995
37,Mujer,Catalunya,Espanya,autónomo,20,0.0,7527.5,2017,437.53725
49,Hombre,Catalunya,Espanya,asalariado,45,33151.5,0.0,2017,296.29852
45,Mujer,Catalunya,Espanya,asalariado,45,59506.1,0.0,2017,296.50212
71,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,284.56604
44,Hombre,Catalunya,Espanya,asalariado,30,9921.0,0.0,2017,321.79005
44,Mujer,Catalunya,Espanya,asalariado, ,17175.2,0.0,2017,321.46577
86,Mujer,Catalunya,Espanya,autónomo, ,0.0,0.0,2017,245.44598
45,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,291.10474
86,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,383.41649
51,Mujer,Catalunya,Resto,asalariado, ,0.0,5000.0,2017,623.54931
60,Mujer,Catalunya,Resto,asalariado,60,9600.0,0.0,2017,622.4078599999999
22,Hombre,Catalunya,Resto,, ,0.0,0.0,2017,623.56419
82,Hombre,Catalunya,Espanya,autónomo, ,0.0,0.0,2017,383.41649
85,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,245.44598
77,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,290.85432000000003
70,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,289.85303999999996
86,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,269.31871
57,Mujer,Catalunya,Espanya,autónomo, ,0.0,19112.39,2017,273.23747000000003
32,Hombre,Catalunya, ,, ,0.0,0.0,2017,0.0
77,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,245.44598
47,Hombre,Catalunya,Espanya,asalariado,20,0.0,0.0,2017,316.34185
43,Mujer,Catalunya, ,, ,0.0,0.0,2017,0.0
17,Hombre,Catalunya, ,, ,0.0,0.0,2017,0.0
22,Hombre,Catalunya, ,, ,4763.3,0.0,2017,0.0
65,Hombre,Catalunya,Resto,asalariado,30,8654.6,0.0,2017,398.24027
56,Mujer,Catalunya,Resto,asalariado,25,10774.5,0.0,2017,392.00822
27,Hombre,Catalunya,Resto,asalariado,25,5789.0,0.0,2017,400.59821
25,Mujer,Catalunya,Resto,asalariado,40,12931.8,0.0,2017,431.97062
23,Mujer,Catalunya,Espanya,asalariado,22,6470.3,0.0,2017,411.89285
55,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,286.28736000000004
52,Hombre,Catalunya,Resto,autónomo,40,0.0,9600.0,2017,287.64877
19,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,287.21499
18,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,287.21499
50,Hombre,Catalunya,Espanya,asalariado,40,26870.7,0.0,2017,308.70108
49,Mujer,Catalunya,Espanya,asalariado,40,27746.1,0.0,2017,310.65148999999997
17,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,309.83342999999996
17,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,309.83342999999996
33,Mujer,Catalunya,Espanya,asalariado, ,625.9,0.0,2017,387.56604
32,Mujer,Catalunya,Espanya,asalariado, ,13577.7,0.0,2017,387.56604
57,Hombre,Catalunya,Resto,asalariado,40,10200.0,0.0,2017,466.02109
50,Mujer,Catalunya,Resto,asalariado,40,14655.01,0.0,2017,474.22264
22,Mujer,Catalunya,Resto,asalariado,40,1803.6,0.0,2017,518.5558
18,Mujer,Catalunya,Resto,asalariado, ,0.0,0.0,2017,472.97382999999996
57,Mujer,Catalunya,Espanya,asalariado, ,16306.0,0.0,2017,239.54799
62,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,250.43077000000002
61,Hombre,Catalunya,Espanya,asalariado,40,48724.4,0.0,2017,256.66458
38,Hombre,Catalunya,Resto,asalariado, ,12558.0,0.0,2017,512.93524
31,Hombre,Catalunya, ,, ,0.0,0.0,2017,0.0
39,Mujer,Catalunya,Resto,asalariado,40,2132.5,0.0,2017,440.73319000000004
46,Hombre,Catalunya,Resto,asalariado, ,1095.1,0.0,2017,440.43055999999996
47,Hombre,Catalunya,Resto,asalariado,30,14709.6,0.0,2017,223.05888
42,Mujer,Catalunya,Resto,, ,0.0,0.0,2017,223.21215
53,Hombre,Catalunya,Resto,asalariado,36,2239.8,0.0,2017,228.57362999999998
38,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,227.55107999999998
21,Hombre,Catalunya,Resto,asalariado, ,0.0,0.0,2017,227.49725
18,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,233.70821
53,Hombre,Catalunya,Espanya,autónomo,44,14060.3,0.0,2017,336.11212
53,Mujer,Catalunya,Espanya,asalariado,40,17153.6,0.0,2017,334.52134
22,Mujer,Catalunya,Espanya,asalariado,20,3112.3,0.0,2017,367.94857
18,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,343.6624
69,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,288.61748
68,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,285.39277999999996
62,Hombre,Catalunya,Espanya,asalariado, ,20168.6,0.0,2017,256.66458
62,Mujer,Catalunya,Espanya,asalariado,35,23074.9,0.0,2017,250.43077000000002
67,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,316.30548
65,Hombre,Catalunya,Resto,asalariado, ,0.0,0.0,2017,322.63858
32,Hombre,Catalunya,Espanya,asalariado,40,33641.0,0.0,2017,324.54889
63,Hombre,Catalunya,Espanya,asalariado, ,28430.3,0.0,2017,329.41368
52,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,324.85337000000004
23,Hombre,Catalunya,Espanya,asalariado, ,231.7,0.0,2017,324.86111
29,Mujer,Catalunya,Espanya,asalariado, ,16509.9,0.0,2017,325.68547
40,Hombre,Catalunya,Resto,asalariado,20,4663.1,0.0,2017,378.89324
38,Mujer,Catalunya,Resto,asalariado, ,29.8,0.0,2017,378.51142999999996
34,Mujer,Catalunya,Resto,asalariado,50,37603.8,0.0,2017,518.48294
86,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,231.03376
71,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,233.44768
56,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,339.95772
55,Hombre,Catalunya,Espanya,asalariado,48,36155.3,0.0,2017,342.20078
39,Hombre,Catalunya,Espanya,asalariado,40,18389.5,0.0,2017,341.01354
43,Hombre,Catalunya,Resto,asalariado,40,13633.7,0.0,2017,297.71807
42,Mujer,Catalunya,Resto,asalariado,40,15411.0,0.0,2017,297.41806
17,Hombre,Catalunya,Resto,, ,0.0,0.0,2017,305.46567000000005
62,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,154.77069
58,Hombre,Catalunya,Espanya,asalariado,40,10206.1,0.0,2017,150.87171999999998
56,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,152.34869
28,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,153.01904
25,Hombre,Catalunya,Espanya,asalariado,60,4463.5,0.0,2017,152.63173
18,Hombre,Catalunya,Resto,asalariado, ,0.0,0.0,2017,156.79877
55,Mujer,Catalunya,Resto,asalariado,40,9600.0,0.0,2017,203.00656
37,Hombre,Catalunya,Resto,asalariado, ,14877.1,0.0,2017,203.26428
37,Mujer,Catalunya,Resto,asalariado, ,11780.4,0.0,2017,203.05944
82,Hombre,Catalunya,Espanya,asalariado, ,36.9,0.0,2017,290.85432000000003
71,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,289.85303999999996
48,Mujer,Catalunya,Espanya,asalariado,60,4908.6,0.0,2017,402.82282999999995
22,Mujer,Catalunya,Espanya,asalariado, ,4459.1,0.0,2017,440.48110999999994
56,Hombre,Catalunya,Espanya,asalariado,40,38551.6,0.0,2017,395.85613
18,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,401.76205
26,Mujer,Catalunya,Espanya,autónomo,40,4480.7,0.0,2017,368.69043
26,Hombre,Catalunya,Espanya,autónomo,40,0.0,20000.0,2017,375.1189
33,Mujer,Catalunya,Espanya,asalariado,40,26274.84,0.0,2017,389.32863
30,Hombre,Catalunya,UE-28,asalariado,40,20953.69,0.0,2017,396.11695
80,Hombre,Catalunya,Espanya,autónomo, ,0.0,0.0,2017,370.49752
73,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,369.22207000000003
34,Hombre,Catalunya,Espanya,asalariado,40,20991.5,0.0,2017,378.84457000000003
35,Hombre,Catalunya,Espanya,asalariado,40,12833.43,0.0,2017,449.4023
35,Mujer,Catalunya,Espanya,asalariado,40,26474.11,0.0,2017,441.70082
46,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,304.53037
71,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,395.9158
65,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,398.4867
44,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,402.85702000000003
35,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,403.78375
74,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,314.92488
62,Hombre,Catalunya,Espanya,asalariado,40,26502.3,0.0,2017,375.17163999999997
58,Mujer,Catalunya,Espanya,asalariado, ,7262.7,0.0,2017,369.30059
33,Hombre,Catalunya,Espanya,asalariado,40,3510.5,0.0,2017,377.39299
29,Hombre,Catalunya,Espanya,asalariado,40,3154.4,0.0,2017,377.39299
86,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,286.06855
86,Mujer,Catalunya,Espanya,autónomo, ,0.0,0.0,2017,282.13589
34,Mujer,Catalunya,Resto,asalariado,15,10464.5,0.0,2017,281.35577
18,Mujer,Catalunya,Resto,, ,0.0,0.0,2017,281.54624
61,Hombre,Catalunya,Espanya,asalariado,37,40626.2,0.0,2017,263.31338999999997
60,Mujer,Catalunya,Espanya,asalariado, ,10647.34,0.0,2017,259.19281
86,Mujer,Catalunya,Espanya,ayuda familiar, ,0.0,0.0,2017,258.57388
32,Mujer,Catalunya,Resto,asalariado,35,16005.9,0.0,2017,143.47426000000002
41,Hombre,Catalunya,Resto,asalariado,40,25234.6,0.0,2017,143.28937
20,Hombre,Catalunya,Resto,asalariado,40,1007.3,0.0,2017,147.01823000000002
38,Hombre,Catalunya,Espanya,asalariado,60,28846.9,0.0,2017,406.09652
35,Mujer,Catalunya,Espanya,asalariado,37,24269.6,0.0,2017,406.62053
74,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,277.07506
48,Hombre,Catalunya,Espanya,asalariado,37,7911.8,0.0,2017,278.59131
76,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,286.06855
85,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,282.13589
60,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,320.85462
83,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,323.80029
54,Mujer,Catalunya,Resto,asalariado, ,0.0,0.0,2017,353.68093
49,Hombre,Catalunya,Resto,asalariado,40,30876.7,0.0,2017,353.53014
23,Hombre,Catalunya,Resto,asalariado,40,6263.8,0.0,2017,353.68936
19,Hombre,Catalunya,Resto,asalariado, ,0.0,0.0,2017,363.34553999999997
68,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,359.63818
57,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,365.17837000000003
74,Hombre,Catalunya,Espanya,Empleador, ,0.0,0.0,2017,393.02182
74,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,397.46265
41,Hombre,Catalunya,Espanya,asalariado,42,30921.5,0.0,2017,603.15175
37,Mujer,Catalunya,Espanya,asalariado,50,42926.8,0.0,2017,602.54394
58,Mujer,Catalunya,Espanya,asalariado,40,10900.0,0.0,2017,479.82991
56,Hombre,Catalunya,Espanya,asalariado,40,20600.4,0.0,2017,475.17812000000004
25,Mujer,Catalunya,Espanya,asalariado,40,12346.3,0.0,2017,528.7451
43,Mujer,Catalunya,Espanya,asalariado,22,18496.8,0.0,2017,422.64514
42,Hombre,Catalunya,Espanya,asalariado,30,38249.9,0.0,2017,423.07148
86,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,357.85528999999997
82,Mujer,Catalunya,Espanya,ayuda familiar, ,0.0,0.0,2017,352.93577
74,Mujer,Catalunya,Espanya,autónomo, ,0.0,0.0,2017,375.01543
42,Hombre,Catalunya,Espanya,autónomo,50,36172.9,0.0,2017,423.07148
38,Mujer,Catalunya,Espanya,asalariado, ,14537.4,0.0,2017,422.64514
84,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,357.85528999999997
80,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,352.93577
36,Mujer,Catalunya,Resto,asalariado,45,30563.5,0.0,2017,423.14425
36,Hombre,Catalunya,Espanya,asalariado,45,26139.7,0.0,2017,423.57109
85,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,352.93577
83,Hombre,Catalunya,Espanya,autónomo, ,0.0,0.0,2017,357.85528999999997
47,Mujer,Catalunya,Resto,asalariado,40,16183.88,0.0,2017,252.93981000000002
42,Hombre,Catalunya,Resto,asalariado, ,1394.3,0.0,2017,251.77818
32,Hombre,Catalunya,Resto,asalariado,32,7075.6,0.0,2017,256.49871
30,Mujer,Catalunya,Resto,autónomo,70,0.0,23500.0,2017,252.10306
28,Hombre,Catalunya,Espanya,, ,1887.8,0.0,2017,256.49871
59,Mujer,Catalunya,Espanya,asalariado,40,20702.34,0.0,2017,266.62743
76,Hombre,Catalunya,Espanya,autónomo, ,0.0,0.0,2017,326.64583
51,Mujer,Catalunya,Resto,asalariado, ,0.0,0.0,2017,327.44231
80,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,302.24121
80,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,298.08623
63,Mujer,Catalunya,Espanya,asalariado,40,20704.8,0.0,2017,321.36793
41,Hombre,Catalunya, ,, ,51480.9,0.0,2017,0.0
27,Hombre,Catalunya,Resto,asalariado,40,12093.6,0.0,2017,622.74768
47,Hombre,Catalunya,Resto,asalariado, ,3422.9,0.0,2017,337.56908
39,Mujer,Catalunya,Resto,asalariado, ,10553.0,0.0,2017,337.80102999999997
17,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,346.94133
80,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,302.24121
79,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,298.08623
42,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,397.71246
82,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,391.18899
45,Hombre,Catalunya,Espanya,asalariado, ,213.1,0.0,2017,398.11364
65,Mujer,Catalunya,Espanya,asalariado,10,5556.6,0.0,2017,321.36793
43,Hombre,Catalunya,Espanya,asalariado,40,28214.0,0.0,2017,325.2202
37,Hombre,Catalunya,Espanya,asalariado, ,26769.1,0.0,2017,487.48942999999997
38,Mujer,Catalunya, ,, ,34905.9,0.0,2017,0.0
71,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,321.24393
70,Hombre,Catalunya,Espanya,asalariado, ,11914.51,0.0,2017,317.65469
32,Hombre,Catalunya,Espanya,asalariado, ,6415.5,0.0,2017,364.62469
67,Mujer,Catalunya,Espanya,asalariado, ,12488.9,0.0,2017,355.36336
86,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,273.19216
54,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,278.73685
62,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,282.64977999999996
47,Hombre,Catalunya,Espanya,asalariado,40,22824.9,0.0,2017,378.46832
45,Mujer,Catalunya,Espanya,asalariado,40,10310.5,0.0,2017,378.72837999999996
18,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,388.9761
86,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,373.95132
86,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,368.81052
46,Mujer,Catalunya,Espanya,asalariado,25,6930.3,0.0,2017,482.46288
45,Hombre,Catalunya,Espanya,asalariado,40,16951.5,0.0,2017,480.24715
41,Hombre,Catalunya,Espanya,asalariado,37,38192.0,0.0,2017,487.25215
40,Mujer,Catalunya,Espanya,asalariado,20,16639.6,0.0,2017,486.76114
86,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,373.95132
83,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,368.81052
56,Mujer,Catalunya,Espanya,asalariado,40,20088.0,0.0,2017,294.71715
53,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,295.25764
